2020-04-13 17:31:18.299 [main] INFO  Query.QueryTests - Testing Boolean Query
2020-04-13 17:31:18.364 [main] INFO  Query.QueryTests - Query 1 Processing Time:60 milliseconds
2020-04-13 17:31:18.377 [main] INFO  Query.QueryTests - Score:1.0 userId: h6sXm3sDJ4NuYY-cwFr_SA
2020-04-13 17:31:18.377 [main] INFO  Query.QueryTests - Score:1.0 userId: -p2ISrtcOFS87T2pkyIaNw
2020-04-13 17:31:18.378 [main] INFO  Query.QueryTests - Score:1.0 userId: FMLj4S6UEoSuj_bPQcER6w
2020-04-13 17:31:18.378 [main] INFO  Query.QueryTests - Score:1.0 userId: lhhC5h8Z-Fbh9HtbweOETA
2020-04-13 17:31:18.378 [main] INFO  Query.QueryTests - Score:1.0 userId: ql5cLAVAburs4jN_NQJWOg
2020-04-13 17:31:18.378 [main] INFO  Query.QueryTests - Score:1.0 userId: IfSRhgASJe5Nxigd57o9Gg
2020-04-13 17:31:18.378 [main] INFO  Query.QueryTests - Score:1.0 userId: CSn6ZZhOjLxVZZGmVlU_kw
2020-04-13 17:31:18.378 [main] INFO  Query.QueryTests - Score:1.0 userId: FF0lNty7gIs3oPKKRqq56A
2020-04-13 17:31:18.379 [main] INFO  Query.QueryTests - Score:1.0 userId: E66ZrWTNSRsNzvyhcmCjBg
2020-04-13 17:31:18.379 [main] INFO  Query.QueryTests - Score:1.0 userId: lJ_vyOAE7cYptfQGf9EHzQ
2020-04-13 17:31:18.394 [main] INFO  Query.QueryTests - Query 2 Processing Time:15 milliseconds
2020-04-13 17:31:18.395 [main] INFO  Query.QueryTests - Score:2.0 business_id: jpaKaQsptwDbiqYcVdoNxA
2020-04-13 17:31:18.403 [main] INFO  Query.QueryTests - Query 3 Processing Time:8 milliseconds
2020-04-13 17:31:18.403 [main] INFO  Query.QueryTests - Score:1.0 reviewId: 8ySIRYVZ2cCmiPzATqrTJQ
2020-04-13 17:31:18.403 [main] INFO  Query.QueryTests - Score:1.0 reviewId: 5urstiP2WLwkcMcReLDkOg
2020-04-13 17:31:18.404 [main] INFO  Query.QueryTests - Score:1.0 reviewId: QVrAhjALbz761GHcxiKEhg
2020-04-13 17:31:18.404 [main] INFO  Query.QueryTests - Score:1.0 reviewId: vKr5Dkj85REgVTofacu8gQ
2020-04-13 17:31:18.404 [main] INFO  Query.QueryTests - Score:1.0 reviewId: tmlv0-SL6J48DvTEQqjPfw
2020-04-13 17:31:18.404 [main] INFO  Query.QueryTests - Score:1.0 reviewId: fwh2s96WbGBXnNw7baBauA
2020-04-13 17:31:18.404 [main] INFO  Query.QueryTests - Score:1.0 reviewId: KAF4do9wE-BAwAglvg5xQA
2020-04-13 17:31:18.405 [main] INFO  Query.QueryTests - Score:1.0 reviewId: pEcfQPtcieomp0jV2k4bXw
2020-04-13 17:31:18.405 [main] INFO  Query.QueryTests - Score:1.0 reviewId: U-Be4Y3H7M2yIKXJNm9qSQ
2020-04-13 17:31:18.405 [main] INFO  Query.QueryTests - Score:1.0 reviewId: _6OOmzolADfwJxaZe1kwQw
2020-04-13 17:31:18.411 [main] INFO  Query.QueryTests - Query 4 Processing Time:6 milliseconds
2020-04-13 17:31:18.412 [main] INFO  Query.QueryTests - Score:3.0 business_id: cKyLV5oWZJ2NudWgqs8VZw
2020-04-13 17:31:18.412 [main] INFO  Query.QueryTests - Score:3.0 business_id: ScYkbYNkDgCneBrD9vqhCQ
2020-04-13 17:31:18.412 [main] INFO  Query.QueryTests - Score:3.0 business_id: 07cgbTbANYhVDfzTMOkB9w
2020-04-13 17:31:18.412 [main] INFO  Query.QueryTests - Score:3.0 business_id: tF2ovXGBW6EeaPDWOxjpbg
2020-04-13 17:31:18.413 [main] INFO  Query.QueryTests - Score:3.0 business_id: OUBuRQi7Doshp4bUzqAz2w
2020-04-13 17:31:18.413 [main] INFO  Query.QueryTests - Score:3.0 business_id: tWAlwjRV195TX2X0Ihzciw
2020-04-13 17:31:18.413 [main] INFO  Query.QueryTests - Score:3.0 business_id: 3Oya_jqC9Pe8Iz3zC_ztww
2020-04-13 17:31:18.413 [main] INFO  Query.QueryTests - Score:3.0 business_id: 36sblIWe08niJxB2qu0I7g
2020-04-13 17:31:18.413 [main] INFO  Query.QueryTests - Score:3.0 business_id: SEWXV8FPwtlSEPQdv-rMtw
2020-04-13 17:31:18.414 [main] INFO  Query.QueryTests - Score:3.0 business_id: OZOasTrffkK0ZbF3j45yvw
2020-04-13 17:31:18.434 [main] INFO  Query.QueryTests - Query 5 Processing Time:19 milliseconds
2020-04-13 17:31:18.434 [main] INFO  Query.QueryTests - Score:2.0 business_id: pQeaRpvuhoEqudo3uymHIQ
2020-04-13 17:31:18.435 [main] INFO  Query.QueryTests - Score:2.0 business_id: Ga2Bt7xfqoggTypWD5VpoQ
2020-04-13 17:31:18.435 [main] INFO  Query.QueryTests - Score:2.0 business_id: Sd75ucXKoZUM2BEfBHFUOg
2020-04-13 17:31:18.435 [main] INFO  Query.QueryTests - Score:2.0 business_id: ZkzutF0P_u0C0yTulwaHkA
2020-04-13 17:31:18.436 [main] INFO  Query.QueryTests - Score:2.0 business_id: j9bWpCRwpDVfwVT_V85qeA
2020-04-13 17:31:18.436 [main] INFO  Query.QueryTests - Score:2.0 business_id: 6GHwgKNlvfIMUpFaxgBjUA
2020-04-13 17:31:18.437 [main] INFO  Query.QueryTests - Score:2.0 business_id: Ir_QIzs-4o9ElOtiGuxJrw
2020-04-13 17:31:18.437 [main] INFO  Query.QueryTests - Score:2.0 business_id: 39lLJK_rrYY2NYomSsQdUA
2020-04-13 17:31:18.437 [main] INFO  Query.QueryTests - Score:2.0 business_id: 0y6alZmSLnPzmG5_kP5Quw
2020-04-13 17:31:18.437 [main] INFO  Query.QueryTests - Score:2.0 business_id: 5X7TQsA3iDbBc8yy2YkCnA
2020-04-13 17:31:18.440 [main] INFO  Query.QueryTests - Query 6 Processing Time:2 milliseconds
2020-04-13 17:31:18.440 [main] INFO  Query.QueryTests - Score:3.0 business_id: Q_dh08clYUPj13GmCRzIVA
2020-04-13 17:31:18.440 [main] INFO  Query.QueryTests - Score:3.0 business_id: Yr_w9lakJrKMyEG_hI6zbA
2020-04-13 17:31:18.440 [main] INFO  Query.QueryTests - Score:3.0 business_id: AtD6B83S4Mbmq0t7iDnUVA
2020-04-13 17:31:18.441 [main] INFO  Query.QueryTests - Score:3.0 business_id: oUX2bYbqjqST-urKbOHG6w
2020-04-13 17:31:18.441 [main] INFO  Query.QueryTests - Score:3.0 business_id: c1JoHp602zilpDU_57DsMg
2020-04-13 17:31:18.441 [main] INFO  Query.QueryTests - Score:3.0 business_id: tZEW8ESjrVmNGXvPnrR97w
2020-04-13 17:31:18.442 [main] INFO  Query.QueryTests - Score:3.0 business_id: THOZYeKWKyW_-6U30E1b5w
2020-04-13 17:31:18.442 [main] INFO  Query.QueryTests - Score:3.0 business_id: q3YnYPjLuBGRDi_59yTC5g
2020-04-13 17:31:18.442 [main] INFO  Query.QueryTests - Score:3.0 business_id: f1L-fI_wM5aH7_YG7WcUaA
2020-04-13 17:31:18.442 [main] INFO  Query.QueryTests - Score:3.0 business_id: nvh-zGYHKwIUiPTgwhIScA
2020-04-13 17:31:18.446 [main] INFO  Query.QueryTests - Query 7 Processing Time:3 milliseconds
2020-04-13 17:31:18.446 [main] INFO  Query.QueryTests - Score:3.0 business_id: pzqkoAemPvIOim95gZ9_UQ
2020-04-13 17:31:18.446 [main] INFO  Query.QueryTests - Score:3.0 business_id: 65kVhqEhte8C6-HDq564Kw
2020-04-13 17:31:18.446 [main] INFO  Query.QueryTests - Score:3.0 business_id: G5nbw153N1Ca0PDENesUvw
2020-04-13 17:31:18.447 [main] INFO  Query.QueryTests - Score:3.0 business_id: 4g2KxIaa3TcuYgSCDG8_sQ
2020-04-13 17:31:18.447 [main] INFO  Query.QueryTests - Score:3.0 business_id: yxyWqmJdEVZpPNRIk8s_Cg
2020-04-13 17:31:18.447 [main] INFO  Query.QueryTests - Score:3.0 business_id: TleEfK2ks-gQ8mT-hCrU8A
2020-04-13 17:31:18.448 [main] INFO  Query.QueryTests - Score:3.0 business_id: 1TZ1AGd22wIchtsWkTeG5Q
2020-04-13 17:31:18.448 [main] INFO  Query.QueryTests - Score:3.0 business_id: Zx6sZyhaW583ik9gHAFzGg
2020-04-13 17:31:18.448 [main] INFO  Query.QueryTests - Score:3.0 business_id: s1JMK5xZnkJ141FX7ks1Yw
2020-04-13 17:31:18.448 [main] INFO  Query.QueryTests - Score:3.0 business_id: iapGn_rIfAT3F1z4TrjEsQ
2020-04-13 17:31:18.450 [main] INFO  Query.QueryTests - Query 8 Processing Time:1 milliseconds
2020-04-13 17:31:18.450 [main] INFO  Query.QueryTests - Score:3.0 business_id: Ya-HZZrzMWYSBtGyLajDQg
2020-04-13 17:31:18.450 [main] INFO  Query.QueryTests - Score:3.0 business_id: Uz77JHl5e6zlGa-71-6_dA
2020-04-13 17:31:18.450 [main] INFO  Query.QueryTests - Score:3.0 business_id: f5Pg89x-2xek78E9KHMhNg
2020-04-13 17:31:18.451 [main] INFO  Query.QueryTests - Score:3.0 business_id: sY2TrIpQaS8kFDI8GRGS3Q
2020-04-13 17:31:18.451 [main] INFO  Query.QueryTests - Score:3.0 business_id: LbM7p-cI0dUCkaUzOyFMTw
2020-04-13 17:31:18.451 [main] INFO  Query.QueryTests - Score:3.0 business_id: 0oyzNutZ--rBqP_boeegPg
2020-04-13 17:31:18.451 [main] INFO  Query.QueryTests - Score:3.0 business_id: BmZu5ackYYCrgQIaJ3-r9A
2020-04-13 17:31:18.452 [main] INFO  Query.QueryTests - Score:3.0 business_id: jH19V2I9fIslnNhDzPmdkA
2020-04-13 17:31:18.452 [main] INFO  Query.QueryTests - Score:3.0 business_id: 6ipr7nnwrzf_o3MGD-8nlA
2020-04-13 17:31:18.459 [main] INFO  Query.QueryTests - Query 9 Processing Time:6 milliseconds
2020-04-13 17:31:18.459 [main] INFO  Query.QueryTests - Score:3.0 business_id: 04hacnUYlCiUprno4UuPtw
2020-04-13 17:31:18.459 [main] INFO  Query.QueryTests - Score:3.0 business_id: izw7OBVSeNmlVhjly1amQg
2020-04-13 17:31:18.460 [main] INFO  Query.QueryTests - Score:3.0 business_id: B_wz5DFPuYBLedrk8XW6jA
